temporada,equipo,squad_value,elo,ea_overall,tiros_avg,tiros_arco_avg,posesion_avg
2022,Netherlands,852.0,2003.9,84.73,15.88,5.88,62.32
2024,Netherlands,852.0,2003.9,84.73,15.88,5.88,62.32
2026,Netherlands,852.0,2003.9,84.73,15.88,5.88,62.32
2018,Serbia,345.0,1811.9,80.55,11.17,3.5,47.7
2020,Serbia,345.0,1811.9,80.55,11.17,3.5,47.7
2022,Serbia,345.0,1811.9,80.55,11.17,3.5,47.7
2024,Serbia,345.0,1811.9,80.55,11.17,3.5,47.7
2026,Serbia,345.0,1811.9,80.55,11.17,3.5,47.7
2018,Croatia,379.3,1973.5,81.18,18.25,5.75,65.28
2020,Croatia,379.3,1973.5,81.18,18.25,5.75,65.28
2022,Croatia,379.3,1973.5,81.18,18.25,5.75,65.28
2024,Croatia,379.3,1973.5,81.18,18.25,5.75,65.28
2026,Croatia,379.3,1973.5,81.18,18.25,5.75,65.28
2018,Czech Republic,225.2,1806.1,77.55,17.5,5.75,56.98
2020,Czech Republic,225.2,1806.1,77.55,17.5,5.75,56.98
2022,Czech Republic,225.2,1806.1,77.55,17.5,5.75,56.98
2024,Czech Republic,225.2,1806.1,77.55,17.5,5.75,56.98
2026,Czech Republic,225.2,1806.1,77.55,17.5,5.75,56.98
2018,England,1263.5,2090.1,86.09,18.29,6.86,70.0
2020,England,1263.5,2090.1,86.09,18.29,6.86,70.0
2022,England,1263.5,2090.1,86.09,18.29,6.86,70.0
2024,England,1263.5,2090.1,86.09,18.29,6.86,70.0
2026,England,1263.5,2090.1,86.09,18.29,6.86,70.0
2018,Spain,1279.0,2223.3,86.45,18.5,7.5,68.11
2020,Spain,1279.0,2223.3,86.45,18.5,7.5,68.11
2022,Spain,1279.0,2223.3,86.45,18.5,7.5,68.11
2024,Spain,1279.0,2223.3,86.45,18.5,7.5,68.11
2026,Spain,1279.0,2223.3,86.45,18.5,7.5,68.11
2018,Denmark,368.4,1938.2,79.73,17.75,6.38,62.6
2020,Denmark,368.4,1938.2,79.73,17.75,6.38,62.6
2022,Denmark,368.4,1938.2,79.73,17.75,6.38,62.6
2024,Denmark,368.4,1938.2,79.73,17.75,6.38,62.6
2026,Denmark,368.4,1938.2,79.73,17.75,6.38,62.6
2018,Norway,479.9,1983.3,80.18,16.71,6.43,56.59
2020,Norway,479.9,1983.3,80.18,16.71,6.43,56.59
2022,Norway,479.9,1983.3,80.18,16.71,6.43,56.59
2024,Norway,479.9,1983.3,80.18,16.71,6.43,56.59
2026,Norway,479.9,1983.3,80.18,16.71,6.43,56.59
2018,Portugal,975.0,2056.4,85.27,22.25,7.5,69.6
2020,Portugal,975.0,2056.4,85.27,22.25,7.5,69.6
2022,Portugal,975.0,2056.4,85.27,22.25,7.5,69.6
2024,Portugal,975.0,2056.4,85.27,22.25,7.5,69.6
2026,Portugal,975.0,2056.4,85.27,22.25,7.5,69.6
2018,Wales,117.8,1744.7,75.64,16.33,6.17,66.75
2020,Wales,117.8,1744.7,75.64,16.33,6.17,66.75
2022,Wales,117.8,1744.7,75.64,16.33,6.17,66.75
2024,Wales,117.8,1744.7,75.64,16.33,6.17,66.75
2026,Wales,117.8,1744.7,75.64,16.33,6.17,66.75
2018,North Macedonia,39.8,1650.7,70.82,10.4,4.5,44.64
2020,North Macedonia,39.8,1650.7,70.82,10.4,4.5,44.64
2022,North Macedonia,39.8,1650.7,70.82,10.4,4.5,44.64
2024,North Macedonia,39.8,1650.7,70.82,10.4,4.5,44.64
2026,North Macedonia,39.8,1650.7,70.82,10.4,4.5,44.64
2018,Scotland,232.6,1852.0,78.64,12.75,6.25,50.05
2020,Scotland,232.6,1852.0,78.64,12.75,6.25,50.05
2022,Scotland,232.6,1852.0,78.64,12.75,6.25,50.05
2024,Scotland,232.6,1852.0,78.64,12.75,6.25,50.05
2026,Scotland,232.6,1852.0,78.64,12.75,6.25,50.05
2018,Slovenia,153.8,1737.1,76.09,9.33,2.6,44.6
2020,Slovenia,153.8,1737.1,76.09,9.33,2.6,44.6
2022,Slovenia,153.8,1737.1,76.09,9.33,2.6,44.6
2024,Slovenia,153.8,1737.1,76.09,9.33,2.6,44.6
2026,Slovenia,153.8,1737.1,76.09,9.33,2.6,44.6
2018,Switzerland,340.7,1951.6,81.45,11.25,5.38,59.95
2020,Switzerland,340.7,1951.6,81.45,11.25,5.38,59.95
2022,Switzerland,340.7,1951.6,81.45,11.25,5.38,59.95
2024,Switzerland,340.7,1951.6,81.45,11.25,5.38,59.95
2026,Switzerland,340.7,1951.6,81.45,11.25,5.38,59.95
2018,Georgia,230.6,1711.8,76.18,9.0,2.25,47.08
2020,Georgia,230.6,1711.8,76.18,9.0,2.25,47.08
2022,Georgia,230.6,1711.8,76.18,9.0,2.25,47.08
2024,Georgia,230.6,1711.8,76.18,9.0,2.25,47.08
2026,Georgia,230.6,1711.8,76.18,9.0,2.25,47.08
2018,Hungary,183.9,1755.9,78.0,13.75,4.62,47.19
2020,Hungary,183.9,1755.9,78.0,13.75,4.62,47.19
2022,Hungary,183.9,1755.9,78.0,13.75,4.62,47.19
2024,Hungary,183.9,1755.9,78.0,13.75,4.62,47.19
2026,Hungary,183.9,1755.9,78.0,13.75,4.62,47.19
2018,Northern Ireland,69.7,1661.3,71.91,8.5,3.12,35.85
2020,Northern Ireland,69.7,1661.3,71.91,8.5,3.12,35.85
2022,Northern Ireland,69.7,1661.3,71.91,8.5,3.12,35.85
2024,Northern Ireland,69.7,1661.3,71.91,8.5,3.12,35.85
2026,Northern Ireland,69.7,1661.3,71.91,8.5,3.12,35.85
2018,Ukraine,339.1,1836.7,79.09,10.14,5.0,48.33
2020,Ukraine,339.1,1836.7,79.09,10.14,5.0,48.33
2022,Ukraine,339.1,1836.7,79.09,10.14,5.0,48.33
2024,Ukraine,339.1,1836.7,79.09,10.14,5.0,48.33
2026,Ukraine,339.1,1836.7,79.09,10.14,5.0,48.33
2018,Austria,284.2,1884.8,79.09,11.38,5.38,63.18
2020,Austria,284.2,1884.8,79.09,11.38,5.38,63.18
2022,Austria,284.2,1884.8,79.09,11.38,5.38,63.18
2024,Austria,284.2,1884.8,79.09,11.38,5.38,63.18
2026,Austria,284.2,1884.8,79.09,11.38,5.38,63.18
2018,Israel,75.8,1709.3,72.82,12.67,5.17,51.6
2020,Israel,75.8,1709.3,72.82,12.67,5.17,51.6
2022,Israel,75.8,1709.3,72.82,12.67,5.17,51.6
2024,Israel,75.8,1709.3,72.82,12.67,5.17,51.6
2026,Israel,75.8,1709.3,72.82,12.67,5.17,51.6
2018,Kosovo,116.2,1781.7,75.18,9.33,4.0,39.42
2020,Kosovo,116.2,1781.7,75.18,9.33,4.0,39.42
2022,Kosovo,116.2,1781.7,75.18,9.33,4.0,39.42
2024,Kosovo,116.2,1781.7,75.18,9.33,4.0,39.42
2026,Kosovo,116.2,1781.7,75.18,9.33,4.0,39.42
2018,Republic of Ireland,136.4,1761.0,75.45,13.0,5.57,42.21
2020,Republic of Ireland,136.4,1761.0,75.45,13.0,5.57,42.21
2022,Republic of Ireland,136.4,1761.0,75.45,13.0,5.57,42.21
2024,Republic of Ireland,136.4,1761.0,75.45,13.0,5.57,42.21
2026,Republic of Ireland,136.4,1761.0,75.45,13.0,5.57,42.21
2018,Bosnia and Herzegovina,107.6,1652.5,76.36,15.2,4.8,47.94
2020,Bosnia and Herzegovina,107.6,1652.5,76.36,15.2,4.8,47.94
2022,Bosnia and Herzegovina,107.6,1652.5,76.36,15.2,4.8,47.94
2024,Bosnia and Herzegovina,107.6,1652.5,76.36,15.2,4.8,47.94
2026,Bosnia and Herzegovina,107.6,1652.5,76.36,15.2,4.8,47.94
2018,Poland,221.7,1764.6,80.0,12.6,4.6,44.18
2020,Poland,221.7,1764.6,80.0,12.6,4.6,44.18
2022,Poland,221.7,1764.6,80.0,12.6,4.6,44.18
2024,Poland,221.7,1764.6,80.0,12.6,4.6,44.18
2026,Poland,221.7,1764.6,80.0,12.6,4.6,44.18
2018,Romania,111.2,1702.9,75.27,14.8,6.2,49.34
2020,Romania,111.2,1702.9,75.27,14.8,6.2,49.34
2022,Romania,111.2,1702.9,75.27,14.8,6.2,49.34
2024,Romania,111.2,1702.9,75.27,14.8,6.2,49.34
2026,Romania,111.2,1702.9,75.27,14.8,6.2,49.34
2018,Sweden,492.8,1774.9,80.27,9.88,3.71,54.55
2020,Sweden,492.8,1774.9,80.27,9.88,3.71,54.55
2022,Sweden,492.8,1774.9,80.27,9.88,3.71,54.55
2024,Sweden,492.8,1774.9,80.27,9.88,3.71,54.55
2026,Sweden,492.8,1774.9,80.27,9.88,3.71,54.55
2018,Albania,91.7,1672.0,74.91,9.8,2.75,52.46
2020,Albania,91.7,1672.0,74.91,9.8,2.75,52.46
2022,Albania,91.7,1672.0,74.91,9.8,2.75,52.46
2024,Albania,91.7,1672.0,74.91,9.8,2.75,52.46
2026,Albania,91.7,1672.0,74.91,9.8,2.75,52.46
2018,Belarus,3.7,1584.2,65.0,9.4,2.2,32.56
2020,Belarus,3.7,1584.2,65.0,9.4,2.2,32.56
2022,Belarus,3.7,1584.2,65.0,9.4,2.2,32.56
2024,Belarus,3.7,1584.2,65.0,9.4,2.2,32.56
2026,Belarus,3.7,1584.2,65.0,9.4,2.2,32.56
2018,Finland,55.4,1584.3,73.45,10.57,5.33,45.73
2020,Finland,55.4,1584.3,73.45,10.57,5.33,45.73
2022,Finland,55.4,1584.3,73.45,10.57,5.33,45.73
2024,Finland,55.4,1584.3,73.45,10.57,5.33,45.73
2026,Finland,55.4,1584.3,73.45,10.57,5.33,45.73
2018,San Marino,5.0,917.0,61.34,4.0,1.0,27.35
2020,San Marino,5.0,917.0,61.34,4.0,1.0,27.35
2022,San Marino,5.0,917.0,61.34,4.0,1.0,27.35
2024,San Marino,5.0,917.0,61.34,4.0,1.0,27.35
2026,San Marino,5.0,917.0,61.34,4.0,1.0,27.35
2018,Armenia,30.0,1418.1,69.22,5.5,1.5,39.15
2020,Armenia,30.0,1418.1,69.22,5.5,1.5,39.15
2022,Armenia,30.0,1418.1,69.22,5.5,1.5,39.15
2024,Armenia,30.0,1418.1,69.22,5.5,1.5,39.15
2026,Armenia,30.0,1418.1,69.22,5.5,1.5,39.15
2018,Cyprus,28.6,1368.6,69.36,12.0,5.0,57.43
2020,Cyprus,28.6,1368.6,69.36,12.0,5.0,57.43
2022,Cyprus,28.6,1368.6,69.36,12.0,5.0,57.43
2024,Cyprus,28.6,1368.6,69.36,12.0,5.0,57.43
2026,Cyprus,28.6,1368.6,69.36,12.0,5.0,57.43
2018,Latvia,7.5,1334.3,64.86,7.67,2.5,41.42
2020,Latvia,7.5,1334.3,64.86,7.67,2.5,41.42
2022,Latvia,7.5,1334.3,64.86,7.67,2.5,41.42
2024,Latvia,7.5,1334.3,64.86,7.67,2.5,41.42
2026,Latvia,7.5,1334.3,64.86,7.67,2.5,41.42
2018,Montenegro,47.4,1515.0,71.36,14.67,5.33,53.9
2020,Montenegro,47.4,1515.0,71.36,14.67,5.33,53.9
2022,Montenegro,47.4,1515.0,71.36,14.67,5.33,53.9
2024,Montenegro,47.4,1515.0,71.36,14.67,5.33,53.9
2026,Montenegro,47.4,1515.0,71.36,14.67,5.33,53.9
2018,Faroe Islands,2.0,1432.1,61.25,8.75,4.75,39.12
2020,Faroe Islands,2.0,1432.1,61.25,8.75,4.75,39.12
2022,Faroe Islands,2.0,1432.1,61.25,8.75,4.75,39.12
2024,Faroe Islands,2.0,1432.1,61.25,8.75,4.75,39.12
2026,Faroe Islands,2.0,1432.1,61.25,8.75,4.75,39.12
2018,Kazakhstan,5.0,1505.0,73.1,13.5,4.75,39.4
2020,Kazakhstan,5.0,1505.0,73.1,13.5,4.75,39.4
2022,Kazakhstan,5.0,1505.0,73.1,13.5,4.75,39.4
2024,Kazakhstan,5.0,1505.0,73.1,13.5,4.75,39.4
2026,Kazakhstan,5.0,1505.0,73.1,13.5,4.75,39.4
2018,Moldova,4.5,1322.1,61.57,7.67,2.0,29.8
2020,Moldova,4.5,1322.1,61.57,7.67,2.0,29.8
2022,Moldova,4.5,1322.1,61.57,7.67,2.0,29.8
2024,Moldova,4.5,1322.1,61.57,7.67,2.0,29.8
2026,Moldova,4.5,1322.1,61.57,7.67,2.0,29.8
2018,Slovakia,198.2,1718.0,78.27,9.33,2.67,46.78
2020,Slovakia,198.2,1718.0,78.27,9.33,2.67,46.78
2022,Slovakia,198.2,1718.0,78.27,9.33,2.67,46.78
2024,Slovakia,198.2,1718.0,78.27,9.33,2.67,46.78
2026,Slovakia,198.2,1718.0,78.27,9.33,2.67,46.78
2018,Bulgaria,43.8,1530.8,70.45,4.75,2.33,25.12
2020,Bulgaria,43.8,1530.8,70.45,4.75,2.33,25.12
2022,Bulgaria,43.8,1530.8,70.45,4.75,2.33,25.12
2024,Bulgaria,43.8,1530.8,70.45,4.75,2.33,25.12
2026,Bulgaria,43.8,1530.8,70.45,4.75,2.33,25.12
2018,Estonia,12.2,1416.0,66.57,7.25,2.5,39.67
2020,Estonia,12.2,1416.0,66.57,7.25,2.5,39.67
2022,Estonia,12.2,1416.0,66.57,7.25,2.5,39.67
2024,Estonia,12.2,1416.0,66.57,7.25,2.5,39.67
2026,Estonia,12.2,1416.0,66.57,7.25,2.5,39.67
2018,Iceland,88.5,1622.9,72.73,8.0,3.0,46.65
2020,Iceland,88.5,1622.9,72.73,8.0,3.0,46.65
2022,Iceland,88.5,1622.9,72.73,8.0,3.0,46.65
2024,Iceland,88.5,1622.9,72.73,8.0,3.0,46.65
2026,Iceland,88.5,1622.9,72.73,8.0,3.0,46.65
2018,Luxembourg,27.1,1449.9,67.64,7.71,2.14,44.17
2020,Luxembourg,27.1,1449.9,67.64,7.71,2.14,44.17
2022,Luxembourg,27.1,1449.9,67.64,7.71,2.14,44.17
2024,Luxembourg,27.1,1449.9,67.64,7.71,2.14,44.17
2026,Luxembourg,27.1,1449.9,67.64,7.71,2.14,44.17
2018,Andorra,1.2,1137.1,67.0,4.0,2.0,30.7
2020,Andorra,1.2,1137.1,67.0,4.0,2.0,30.7
2022,Andorra,1.2,1137.1,67.0,4.0,2.0,30.7
2024,Andorra,1.2,1137.1,67.0,4.0,2.0,30.7
2026,Andorra,1.2,1137.1,67.0,4.0,2.0,30.7
2018,Gibraltar,0.2,1125.4,52.0,3.33,1.5,30.33
2020,Gibraltar,0.2,1125.4,52.0,3.33,1.5,30.33
2022,Gibraltar,0.2,1125.4,52.0,3.33,1.5,30.33
2024,Gibraltar,0.2,1125.4,52.0,3.33,1.5,30.33
2026,Gibraltar,0.2,1125.4,52.0,3.33,1.5,30.33
2018,Malta,11.0,1344.6,63.75,8.75,4.0,40.67
2020,Malta,11.0,1344.6,63.75,8.75,4.0,40.67
2022,Malta,11.0,1344.6,63.75,8.75,4.0,40.67
2024,Malta,11.0,1344.6,63.75,8.75,4.0,40.67
2026,Malta,11.0,1344.6,63.75,8.75,4.0,40.67
2018,Azerbaijan,17.2,1378.1,67.91,4.4,1.5,31.44
2020,Azerbaijan,17.2,1378.1,67.91,4.4,1.5,31.44
2022,Azerbaijan,17.2,1378.1,67.91,4.4,1.5,31.44
2024,Azerbaijan,17.2,1378.1,67.91,4.4,1.5,31.44
2026,Azerbaijan,17.2,1378.1,67.91,4.4,1.5,31.44
2018,Liechtenstein,0.5,947.9,58.0,2.67,1.5,24.4
2020,Liechtenstein,0.5,947.9,58.0,2.67,1.5,24.4
2022,Liechtenstein,0.5,947.9,58.0,2.67,1.5,24.4
2024,Liechtenstein,0.5,947.9,58.0,2.67,1.5,24.4
2026,Liechtenstein,0.5,947.9,58.0,2.67,1.5,24.4
2018,Lithuania,10.3,1325.6,63.1,8.4,2.4,42.44
2020,Lithuania,10.3,1325.6,63.1,8.4,2.4,42.44
2022,Lithuania,10.3,1325.6,63.1,8.4,2.4,42.44
2024,Lithuania,10.3,1325.6,63.1,8.4,2.4,42.44
2026,Lithuania,10.3,1325.6,63.1,8.4,2.4,42.44
